0.0,9.9,7.81,8.6,3.16,3.16,6.32,3.0,2.0,5.39,2.0
9.9,0.0,2.24,2.0,8.94,7.21,5.1,8.06,11.4,9.22,8.6
7.81,2.24,0.0,1.0,6.71,5.0,4.12,5.83,9.22,7.07,6.71
8.6,2.0,1.0,0.0,7.21,5.66,5.1,6.4,9.9,7.28,7.62
3.16,8.94,6.71,7.21,0.0,2.0,7.07,1.0,3.16,2.24,4.24
3.16,7.21,5.0,5.66,2.0,0.0,5.1,1.0,4.24,3.61,3.16
6.32,5.1,4.12,5.1,7.07,5.1,0.0,6.08,8.25,8.54,4.47
3.0,8.06,5.83,6.4,1.0,1.0,6.08,0.0,3.61,2.83,3.61
2.0,11.4,9.22,9.9,3.16,4.24,8.25,3.61,0.0,5.0,4.0
5.39,9.22,7.07,7.28,2.24,3.61,8.54,2.83,5.0,0.0,6.4
2.0,8.6,6.71,7.62,4.24,3.16,4.47,3.61,4.0,6.4,0.0
