0.0,6.0,10.3,10.0,8.6,7.07,8.06,3.61,1.41,7.81,3.0,9.22,8.54
6.0,0.0,9.06,6.32,5.1,8.6,10.63,5.0,5.1,6.08,3.0,6.08,3.61
10.3,9.06,0.0,4.24,4.47,4.47,6.08,6.71,8.94,3.0,9.22,3.61,6.71
10.0,6.32,4.24,0.0,1.41,7.07,9.22,6.71,8.6,3.0,7.81,1.0,3.0
8.6,5.1,4.47,1.41,0.0,6.32,8.54,5.39,7.21,2.24,6.4,1.0,2.24
7.07,8.6,4.47,7.07,6.32,0.0,2.24,4.12,6.0,4.12,7.28,6.08,8.06
8.06,10.63,6.08,9.22,8.54,2.24,0.0,5.83,7.28,6.32,8.94,8.25,10.3
3.61,5.0,6.71,6.71,5.39,4.12,5.83,0.0,2.24,4.24,3.16,5.83,6.0
1.41,5.1,8.94,8.6,7.21,6.0,7.28,2.24,0.0,6.4,2.24,7.81,7.28
7.81,6.08,3.0,3.0,2.24,4.12,6.32,4.24,6.4,0.0,6.32,2.0,4.24
3.0,3.0,9.22,7.81,6.4,7.28,8.94,3.16,2.24,6.32,0.0,7.21,5.83
9.22,6.08,3.61,1.0,1.0,6.08,8.25,5.83,7.81,2.0,7.21,0.0,3.16
8.54,3.61,6.71,3.0,2.24,8.06,10.3,6.0,7.28,4.24,5.83,3.16,0.0
