0.0,6.32,1.41,6.71,4.47,7.07,2.0,2.24,5.1,5.0,6.32
6.32,0.0,5.1,9.85,4.47,8.6,4.47,4.12,3.16,6.71,8.94
1.41,5.1,0.0,6.4,3.16,6.32,1.41,1.0,4.47,4.12,5.83
6.71,9.85,6.4,0.0,5.39,2.24,7.81,7.07,10.63,3.16,1.0
4.47,4.47,3.16,5.39,0.0,4.24,4.0,3.0,5.83,2.24,4.47
7.07,8.6,6.32,2.24,4.24,0.0,7.62,6.71,10.0,2.24,1.41
2.0,4.47,1.41,7.81,4.0,7.62,0.0,1.0,3.16,5.39,7.21
2.24,4.12,1.0,7.07,3.0,6.71,1.0,0.0,3.61,4.47,6.4
5.1,3.16,4.47,10.63,5.83,10.0,3.16,3.61,0.0,7.81,9.9
5.0,6.71,4.12,3.16,2.24,2.24,5.39,4.47,7.81,0.0,2.24
6.32,8.94,5.83,1.0,4.47,1.41,7.21,6.4,9.9,2.24,0.0
