0.0,5.83,5.83,5.0,3.16,3.16,2.83,5.0,4.24,5.39,2.24,4.24
5.83,0.0,8.25,6.08,2.83,8.94,7.07,9.43,10.0,5.0,6.08,8.0
5.83,8.25,0.0,2.24,6.0,7.21,8.6,3.0,6.32,3.61,8.06,10.0
5.0,6.08,2.24,0.0,4.12,7.28,7.81,4.47,7.0,1.41,7.07,9.22
3.16,2.83,6.0,4.12,0.0,6.32,5.1,6.71,7.21,3.61,4.12,6.32
3.16,8.94,7.21,7.28,6.32,0.0,3.16,5.0,2.0,8.06,3.61,4.0
2.83,7.07,8.6,7.81,5.1,3.16,0.0,7.28,5.1,8.06,1.0,1.41
5.0,9.43,3.0,4.47,6.71,5.0,7.28,0.0,3.61,5.83,7.07,8.54
4.24,10.0,6.32,7.0,7.21,2.0,5.1,3.61,0.0,8.06,5.39,6.0
5.39,5.0,3.61,1.41,3.61,8.06,8.06,5.83,8.06,0.0,7.21,9.43
2.24,6.08,8.06,7.07,4.12,3.61,1.0,7.07,5.39,7.21,0.0,2.24
4.24,8.0,10.0,9.22,6.32,4.0,1.41,8.54,6.0,9.43,2.24,0.0
