0.0,2.0,3.61,4.24,2.83,3.16,4.0,5.39,6.4,4.0,7.81,4.47,2.0
2.0,0.0,3.0,5.83,2.0,1.41,6.0,6.4,8.06,4.47,9.43,5.66,4.0
3.61,3.0,0.0,7.81,1.0,2.24,6.71,4.47,7.07,7.28,8.25,4.12,5.0
4.24,5.83,7.81,0.0,7.07,7.21,3.16,8.06,7.28,3.16,8.54,7.07,3.16
2.83,2.0,1.0,7.07,0.0,1.41,6.32,5.0,7.28,6.32,8.54,4.47,4.47
3.16,1.41,2.24,7.21,1.41,0.0,7.07,6.4,8.54,5.83,9.85,5.83,5.1
4.0,6.0,6.71,3.16,6.32,7.07,0.0,5.39,4.12,5.66,5.39,4.47,2.0
5.39,6.4,4.47,8.06,5.0,6.4,5.39,0.0,3.16,9.22,4.0,1.0,5.0
6.4,8.06,7.07,7.28,7.28,8.54,4.12,3.16,0.0,9.43,1.41,3.0,5.0
4.0,4.47,7.28,3.16,6.32,5.83,5.66,9.22,9.43,0.0,10.82,8.25,4.47
7.81,9.43,8.25,8.54,8.54,9.85,5.39,4.0,1.41,10.82,0.0,4.12,6.4
4.47,5.66,4.12,7.07,4.47,5.83,4.47,1.0,3.0,8.25,4.12,0.0,4.0
2.0,4.0,5.0,3.16,4.47,5.1,2.0,5.0,5.0,4.47,6.4,4.0,0.0
310.1775,310.1775,310.1775,310.1775,310.1775,310.1775,310.1775,310.1775,310.1775,310.1775,310.1775,310.1775,310.1775
