0.0,3.0,4.0,7.21,7.28,1.41,6.32,4.0,2.24
3.0,0.0,5.0,5.0,4.47,2.24,3.61,1.0,1.41
4.0,5.0,0.0,6.0,7.28,5.1,6.32,5.66,3.61
7.21,5.0,6.0,0.0,2.24,7.07,2.0,4.47,5.0
7.28,4.47,7.28,2.24,0.0,6.71,1.0,3.61,5.1
1.41,2.24,5.1,7.07,6.71,0.0,5.83,3.16,2.24
6.32,3.61,6.32,2.0,1.0,5.83,0.0,2.83,4.12
4.0,1.0,5.66,4.47,3.61,3.16,2.83,0.0,2.24
2.24,1.41,3.61,5.0,5.1,2.24,4.12,2.24,0.0
112.33500000000001,112.33500000000001,112.33500000000001,112.33500000000001,112.33500000000001,112.33500000000001,112.33500000000001,112.33500000000001,112.33500000000001
