0.0,3.0,7.28,1.0,3.16,8.49,7.81,5.1,7.07,1.41,9.9,8.94
3.0,0.0,4.47,3.16,5.0,6.71,5.83,2.24,7.28,2.24,8.06,6.4
7.28,4.47,0.0,7.07,8.06,4.12,3.16,2.24,7.81,6.08,5.0,2.24
1.0,3.16,7.07,0.0,2.24,7.81,7.21,5.0,6.08,1.0,9.22,8.54
3.16,5.0,8.06,2.24,0.0,7.62,7.28,6.32,4.47,2.83,8.94,9.06
8.49,6.71,4.12,7.81,7.62,0.0,1.0,5.1,5.1,7.07,1.41,2.83
7.81,5.83,3.16,7.21,7.28,1.0,0.0,4.12,5.39,6.4,2.24,2.24
5.1,2.24,2.24,5.0,6.32,5.1,4.12,0.0,7.21,4.0,6.32,4.24
7.07,7.28,7.81,6.08,4.47,5.1,5.39,7.21,0.0,6.0,6.0,7.62
1.41,2.24,6.08,1.0,2.83,7.07,6.4,4.0,6.0,0.0,8.49,7.62
9.9,8.06,5.0,9.22,8.94,1.41,2.24,6.32,6.0,8.49,0.0,3.16
8.94,6.4,2.24,8.54,9.06,2.83,2.24,4.24,7.62,7.62,3.16,0.0
268.1325,268.1325,268.1325,268.1325,268.1325,268.1325,268.1325,268.1325,268.1325,268.1325,268.1325,268.1325
