0.0,7.07,5.83,2.24,2.83,2.24,5.83,8.54,3.61
7.07,0.0,4.47,5.39,5.83,8.06,2.83,2.24,6.4
5.83,4.47,0.0,3.61,3.16,7.81,6.0,6.71,3.0
2.24,5.39,3.61,0.0,1.0,4.24,5.0,7.21,2.0
2.83,5.83,3.16,1.0,0.0,5.0,5.83,7.81,1.0
2.24,8.06,7.81,4.24,5.0,0.0,6.08,9.06,5.83
5.83,2.83,6.0,5.0,5.83,6.08,0.0,3.0,6.71
8.54,2.24,6.71,7.21,7.81,9.06,3.0,0.0,8.49
3.61,6.4,3.0,2.0,1.0,5.83,6.71,8.49,0.0
136.46999999999997,136.46999999999997,136.46999999999997,136.46999999999997,136.46999999999997,136.46999999999997,136.46999999999997,136.46999999999997,136.46999999999997
