0.0,3.16,6.08,4.24,6.32,2.83,2.24,3.0,3.61,7.07,4.12
3.16,0.0,3.61,7.21,5.1,5.83,1.0,6.08,5.39,4.47,1.0
6.08,3.61,0.0,9.22,8.06,8.06,4.47,9.06,8.94,6.08,2.83
4.24,7.21,9.22,0.0,10.3,1.41,6.4,3.0,6.08,11.31,8.06
6.32,5.1,8.06,10.3,0.0,8.94,5.0,7.81,5.0,3.16,5.39
2.83,5.83,8.06,1.41,8.94,0.0,5.0,2.24,5.0,9.9,6.71
2.24,1.0,4.47,6.4,5.0,5.0,0.0,5.1,4.47,5.0,2.0
3.0,6.08,9.06,3.0,7.81,2.24,5.1,0.0,3.16,9.43,7.07
3.61,5.39,8.94,6.08,5.0,5.0,4.47,3.16,0.0,7.28,6.32
7.07,4.47,6.08,11.31,3.16,9.9,5.0,9.43,7.28,0.0,4.12
4.12,1.0,2.83,8.06,5.39,6.71,2.0,7.07,6.32,4.12,0.0
227.805,227.805,227.805,227.805,227.805,227.805,227.805,227.805,227.805,227.805,227.805
