0.0,4.47,4.0,2.83,5.0,2.83,6.32,2.24,5.1,3.16,1.0,5.39,2.24
4.47,0.0,2.0,2.0,1.0,4.47,7.21,6.4,5.83,5.83,5.39,6.71,2.24
4.0,2.0,0.0,2.83,3.0,2.83,8.49,5.39,7.07,4.24,5.0,7.81,2.24
2.83,2.0,2.83,0.0,2.24,4.0,5.66,5.0,4.24,5.1,3.61,5.0,1.0
5.0,1.0,3.0,2.24,0.0,5.39,6.71,7.07,5.39,6.71,5.83,6.32,2.83
2.83,4.47,2.83,4.0,5.39,0.0,8.94,3.0,7.62,1.41,3.61,8.06,3.0
6.32,7.21,8.49,5.66,6.71,8.94,0.0,8.06,1.41,9.49,6.08,1.0,6.4
2.24,6.4,5.39,5.0,7.07,3.0,8.06,0.0,7.0,2.24,2.0,7.07,4.24
5.1,5.83,7.07,4.24,5.39,7.62,1.41,7.0,0.0,8.25,5.0,1.0,5.0
3.16,5.83,4.24,5.1,6.71,1.41,9.49,2.24,8.25,0.0,3.61,8.54,4.12
1.0,5.39,5.0,3.61,5.83,3.61,6.08,2.0,5.0,3.61,0.0,5.1,3.16
5.39,6.71,7.81,5.0,6.32,8.06,1.0,7.07,1.0,8.54,5.1,0.0,5.66
2.24,2.24,2.24,1.0,2.83,3.0,6.4,4.24,5.0,4.12,3.16,5.66,0.0
273.5475,273.5475,273.5475,273.5475,273.5475,273.5475,273.5475,273.5475,273.5475,273.5475,273.5475,273.5475,273.5475
