0.0,9.85,5.1,3.61,8.06,4.12,2.24,5.39,2.24,9.0
9.85,0.0,8.06,7.07,8.25,8.0,10.0,4.47,8.25,4.0
5.1,8.06,0.0,2.24,10.82,1.0,7.0,5.0,3.0,9.43
3.61,7.07,2.24,0.0,8.6,1.41,5.1,3.16,1.41,7.62
8.06,8.25,10.82,8.6,0.0,10.0,6.32,6.32,8.49,4.47
4.12,8.0,1.0,1.41,10.0,0.0,6.0,4.47,2.0,8.94
2.24,10.0,7.0,5.1,6.32,6.0,0.0,5.66,4.0,8.25
5.39,4.47,5.0,3.16,6.32,4.47,5.66,0.0,4.0,4.47
2.24,8.25,3.0,1.41,8.49,2.0,4.0,4.0,0.0,8.25
9.0,4.0,9.43,7.62,4.47,8.94,8.25,4.47,8.25,0.0
198.855,198.855,198.855,198.855,198.855,198.855,198.855,198.855,198.855,198.855
