0.0,5.83,6.08,1.0,4.47,6.32,1.41,5.0,2.24,5.0
5.83,0.0,2.24,5.39,7.07,4.24,5.66,1.0,4.12,5.39
6.08,2.24,0.0,6.0,8.54,6.4,5.39,2.83,5.1,7.21
1.0,5.39,6.0,0.0,3.61,5.39,2.24,4.47,1.41,4.0
4.47,7.07,8.54,3.61,0.0,4.47,5.83,6.08,3.61,2.24
6.32,4.24,6.4,5.39,4.47,0.0,7.07,3.61,4.12,2.24
1.41,5.66,5.39,2.24,5.83,7.07,0.0,5.0,3.0,6.08
5.0,1.0,2.83,4.47,6.08,3.61,5.0,0.0,3.16,4.47
2.24,4.12,5.1,1.41,3.61,4.12,3.0,3.16,0.0,3.16
5.0,5.39,7.21,4.0,2.24,2.24,6.08,4.47,3.16,0.0
149.39249999999998,149.39249999999998,149.39249999999998,149.39249999999998,149.39249999999998,149.39249999999998,149.39249999999998,149.39249999999998,149.39249999999998,149.39249999999998
