0.0,3.16,4.47,5.83,6.4,5.1,9.06,7.0,5.83
3.16,0.0,3.16,4.47,5.39,2.83,6.0,4.12,2.83
4.47,3.16,0.0,1.41,2.24,1.41,5.83,3.61,5.1
5.83,4.47,1.41,0.0,1.0,2.0,5.66,3.61,6.0
6.4,5.39,2.24,1.0,0.0,3.0,6.4,4.47,7.0
5.1,2.83,1.41,2.0,3.0,0.0,4.47,2.24,4.0
9.06,6.0,5.83,5.66,6.4,4.47,0.0,2.24,4.47
7.0,4.12,3.61,3.61,4.47,2.24,2.24,0.0,3.61
5.83,2.83,5.1,6.0,7.0,4.0,4.47,3.61,0.0
116.56500000000001,116.56500000000001,116.56500000000001,116.56500000000001,116.56500000000001,116.56500000000001,116.56500000000001,116.56500000000001,116.56500000000001
