0.0,4.12,5.66,5.66,7.07,3.16,3.16,2.0,7.28,2.0
4.12,0.0,5.0,9.43,8.54,7.0,2.24,6.08,10.0,5.0
5.66,5.0,0.0,8.0,4.24,8.6,3.16,7.21,6.71,4.47
5.66,9.43,8.0,0.0,5.83,5.1,7.62,4.47,3.61,4.47
7.07,8.54,4.24,5.83,0.0,8.94,6.32,7.62,3.0,5.1
3.16,7.0,8.6,5.1,8.94,0.0,6.32,1.41,8.06,4.24
3.16,2.24,3.16,7.62,6.32,6.32,0.0,5.1,7.81,3.16
2.0,6.08,7.21,4.47,7.62,1.41,5.1,0.0,7.0,2.83
7.28,10.0,6.71,3.61,3.0,8.06,7.81,7.0,0.0,5.39
2.0,5.0,4.47,4.47,5.1,4.24,3.16,2.83,5.39,0.0
186.89249999999998,186.89249999999998,186.89249999999998,186.89249999999998,186.89249999999998,186.89249999999998,186.89249999999998,186.89249999999998,186.89249999999998,186.89249999999998
