0.0,2.83,3.0,4.24,7.21,6.08,6.4,4.12,5.66,2.0
2.83,0.0,5.39,1.41,10.0,8.06,6.71,6.71,8.49,4.47
3.0,5.39,0.0,6.71,6.08,7.21,8.94,4.47,4.12,1.0
4.24,1.41,6.71,0.0,11.4,9.22,7.28,8.06,9.9,5.83
7.21,10.0,6.08,11.4,0.0,5.0,9.22,3.61,2.0,6.32
6.08,8.06,7.21,9.22,5.0,0.0,4.47,2.83,5.39,6.71
6.4,6.71,8.94,7.28,9.22,4.47,0.0,6.0,9.0,8.06
4.12,6.71,4.47,8.06,3.61,2.83,6.0,0.0,3.0,4.12
5.66,8.49,4.12,9.9,2.0,5.39,9.0,3.0,0.0,4.47
2.0,4.47,1.0,5.83,6.32,6.71,8.06,4.12,4.47,0.0
197.39999999999998,197.39999999999998,197.39999999999998,197.39999999999998,197.39999999999998,197.39999999999998,197.39999999999998,197.39999999999998,197.39999999999998,197.39999999999998
