0.0,3.16,11.31,7.07,7.81,7.0,7.62,2.24,8.25,6.08
3.16,0.0,10.3,4.0,7.28,4.12,8.0,2.24,9.06,3.61
11.31,10.3,0.0,9.06,3.61,8.06,5.1,9.22,6.0,7.28
7.07,4.0,9.06,0.0,7.28,1.0,8.94,5.39,10.3,2.24
7.81,7.28,3.61,7.28,0.0,6.32,2.24,5.83,3.61,5.1
7.0,4.12,8.06,1.0,6.32,0.0,8.06,5.1,9.43,1.41
7.62,8.0,5.1,8.94,2.24,8.06,0.0,6.08,1.41,6.71
2.24,2.24,9.22,5.39,5.83,5.1,6.08,0.0,7.0,4.0
8.25,9.06,6.0,10.3,3.61,9.43,1.41,7.0,0.0,8.06
6.08,3.61,7.28,2.24,5.1,1.41,6.71,4.0,8.06,0.0
204.7425,204.7425,204.7425,204.7425,204.7425,204.7425,204.7425,204.7425,204.7425,204.7425
