0.0,5.1,2.0,4.24,5.39,6.4,8.06,8.54,9.43,5.1,6.32,1.0
5.1,0.0,7.07,4.47,3.0,10.82,9.85,12.04,9.0,7.21,9.9,4.12
2.0,7.07,0.0,5.83,7.28,5.39,8.54,8.06,10.63,5.83,6.0,3.0
4.24,4.47,5.83,0.0,2.24,7.28,5.39,7.81,5.39,2.83,5.83,3.61
5.39,3.0,7.28,2.24,0.0,9.49,7.21,10.0,6.0,5.0,8.06,4.47
6.4,10.82,5.39,7.28,9.49,0.0,5.83,3.16,9.49,5.0,2.24,7.07
8.06,9.85,8.54,5.39,7.21,5.83,0.0,4.0,4.0,3.0,3.61,8.0
8.54,12.04,8.06,7.81,10.0,3.16,4.0,0.0,8.0,5.0,2.24,8.94
9.43,9.0,10.63,5.39,6.0,9.49,4.0,8.0,0.0,5.0,7.28,8.94
5.1,7.21,5.83,2.83,5.0,5.0,3.0,5.0,5.0,0.0,3.16,5.0
6.32,9.9,6.0,5.83,8.06,2.24,3.61,2.24,7.28,3.16,0.0,6.71
1.0,4.12,3.0,3.61,4.47,7.07,8.0,8.94,8.94,5.0,6.71,0.0
304.42499999999995,304.42499999999995,304.42499999999995,304.42499999999995,304.42499999999995,304.42499999999995,304.42499999999995,304.42499999999995,304.42499999999995,304.42499999999995,304.42499999999995,304.42499999999995
